TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/01/13
TIME,11:28:50
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  999.9101
LASTX, 7000.3350
NPOINTS,   12447
FIRSTY,     0.01491
MAXY,    95.54447
MINY,    -0.00000
XYDATA
1095.8513,-1.17549E-038
1096.3335,-1.17549E-038
1096.8156,-1.17549E-038
1097.2977,-1.17549E-038
1097.7798,-1.17549E-038
1098.2620,-1.17549E-038
1098.7440,0.0105586
1099.2262,0.0294976
1099.7083,0.0422244
1100.1904,0.0457891
1100.6725,0.0406212
1101.1547,0.0292368
1101.6367,0.014474
1102.1189,-1.17549E-038
1102.6010,-1.17549E-038
1103.0831,-1.17549E-038
1103.5652,-1.17549E-038
1104.0474,-1.17549E-038
1104.5294,-1.17549E-038
1105.0116,0.00966676
1105.4937,0.035386
1105.9758,0.0568462
1106.4579,0.0679551
1106.9401,0.0658602
1107.4221,0.0519958
1107.9043,0.0312846
1108.3864,0.00993181
1108.8685,-1.17549E-038
1109.3506,-1.17549E-038
1109.8328,-1.17549E-038
1110.3148,-1.17549E-038
1110.7970,-1.17549E-038
1111.2791,0.00106329
1111.7612,0.0121848
1112.2433,0.0219382
1112.7255,0.0280688
1113.2075,0.0292155
1113.6897,0.0255296
1114.1718,0.0185439
1114.6539,0.0104406
1115.1360,0.0033328
1115.6182,-1.17549E-038
1116.1002,-1.17549E-038
1116.5824,0.00350057
1117.0645,0.0123607
1117.5466,0.0225065
1118.0287,0.029308
1118.5109,0.0282637
1118.9929,0.0175829
1119.4751,-1.17549E-038
1119.9572,-1.17549E-038
1120.4393,-1.17549E-038
1120.9214,-1.17549E-038
1121.4036,-1.17549E-038
1121.8856,-1.17549E-038
1122.3678,-1.17549E-038
1122.8499,0.00173305
1123.3320,0.00597898
1123.8141,0.00661662
1124.2963,0.00438343
1124.7783,-1.17549E-038
1125.2605,-1.17549E-038
1125.7426,-1.17549E-038
1126.2247,-1.17549E-038
1126.7068,-1.17549E-038
1127.1890,-1.17549E-038
1127.6710,-1.17549E-038
1128.1532,-1.17549E-038
1128.6353,-1.17549E-038
1129.1174,-1.17549E-038
1129.5995,-1.17549E-038
1130.0817,-1.17549E-038
1130.5637,-1.17549E-038
1131.0459,-1.17549E-038
1131.5280,-1.17549E-038
1132.0101,-1.17549E-038
1132.4922,-1.17549E-038
1132.9744,-1.17549E-038
1133.4564,-1.17549E-038
1133.9386,0.00846371
1134.4207,0.0215463
1134.9028,0.0269994
1135.3849,0.0227427
1135.8671,0.0103741
1136.3491,-1.17549E-038
1136.8313,-1.17549E-038
1137.3134,-1.17549E-038
1137.7955,-1.17549E-038
1138.2776,-1.17549E-038
1138.7598,-1.17549E-038
1139.2418,-1.17549E-038
1139.7240,-1.17549E-038
1140.2061,-1.17549E-038
1140.6882,-1.17549E-038
1141.1703,-1.17549E-038
1141.6525,-1.17549E-038
1142.1345,0.016513
1142.6167,0.0284136
1143.0988,0.0337852
1143.5809,0.033563
1144.0630,0.0300754
1144.5452,0.0261514
1145.0272,0.0243374
1145.5094,0.0262617
1145.9915,0.0321002
1146.4736,0.0402835
1146.9557,0.0477625
1147.4379,0.051011
1147.9199,0.0474851
1148.4021,0.0368209
1148.8842,0.021059
1149.3663,0.00370227
1149.8484,-1.17549E-038
1150.3306,-1.17549E-038
1150.8126,-1.17549E-038
1151.2948,-1.17549E-038
1151.7769,-1.17549E-038
1152.2590,-1.17549E-038
1152.7411,-1.17549E-038
1153.2233,-1.17549E-038
1153.7053,-1.17549E-038
1154.1875,-1.17549E-038
1154.6696,0.000540161
1155.1517,0.00610247
1155.6338,0.00681092
1156.1160,0.00300652
1156.5980,-1.17549E-038
1157.0802,-1.17549E-038
1157.5623,-1.17549E-038
1158.0444,-1.17549E-038
1158.5265,-1.17549E-038
1159.0087,-1.17549E-038
1159.4907,-1.17549E-038
1159.9729,-1.17549E-038
1160.4550,-1.17549E-038
1160.9371,-1.17549E-038
1161.4192,-1.17549E-038
1161.9014,0.00315997
1162.3834,0.0122998
1162.8656,0.0197641
1163.3477,0.0235734
1163.8298,0.0232245
1164.3119,0.0191377
1164.7941,0.0119126
1165.2761,0.00237066
1165.7583,-1.17549E-038
1166.2404,-1.17549E-038
1166.7225,-1.17549E-038
1167.2046,-1.17549E-038
